[2023-02-23T10:20:27.082] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:20:28.272] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:20:39.552] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:20:43.172] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:20:59.509] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:00.358] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:01.303] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:16.839] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UNIT | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:28.445] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UNIT | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:43.715] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UNIT | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:52.696] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:21:58.661] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDERs | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:02.122] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GEND | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:09.738] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:15.479] [INFO] access - path:/api/basic/enum/allByType?typeId=2&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:19.186] [INFO] access - path:/api/basic/enum/allByType?typeId=2&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
